ID_USER, PRODUCTION, CONSUME, CONSUME_OTHERS, VOLUME_USER, DENSITY_USER, ROL_USER, ID_FILE, SIZE_FILE, TOPIC_ID, VOLUME_TOPIC, DENSITY_TOPIC, ROL_TOPIC
145, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 329, 1, 17, 48148607, 474209.68342377245, Beta
146, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 329, 1, 17, 48148607, 474209.68342377245, Beta
147, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 329, 1, 17, 48148607, 474209.68342377245, Beta
148, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 329, 1, 17, 48148607, 474209.68342377245, Beta
149, 0.004205568172260072, 0.0, 0.6308352258390109, 180000, 2141.600001335144, Alpha, 322, 8, 2, 8456427, 117043.1333695054, Alpha
150, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
151, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
152, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
153, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
154, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
155, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
156, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
157, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
158, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
159, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
160, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
161, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
162, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
163, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
164, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
165, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
166, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
167, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
168, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
169, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
170, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
171, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
172, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
173, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
174, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
175, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
176, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
177, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
178, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
179, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
180, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
181, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
182, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
183, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
184, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
185, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
186, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
187, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
188, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
189, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
190, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 322, 8, 2, 8456427, 117043.1333695054, Alpha
